,Name,Main Title,Dynasty,Date,Comment
17,Ahmose-ankh,Prince,18th dynasty,(fl. c. mid-16th century BC),A son of Pharaoh Ahmose I and queen Ahmose Nefertari. He was the crown prince but pre-deceased his father.
18,Ahmose-Henutemipet,Princess,17th/18th dynasty,(fl. c. late-16th century BC),A daughter of Pharaoh Seqenenre Tao and probably Queen Ahhotep I. She was the sister of Ahmose I.
19,Ahmose-Henuttamehu,Princess / Queen,17th/18th dynasty,(fl. c. late-16th century BC),Daughter of 17th dynasty pharaoh Seqenenre Tao by his sister-wife Ahmose-Inhapi. She was probably married to her half-brother Pharaoh Ahmose I. Ahmose-Henuttamehu was a half-sister to Queen Ahmose-Nefertari.
20,Ahmose-Inhapi,Prince / Queen,17th dynasty,(fl. c. mid-16th century BC),"A daughter of Pharaoh Senakhtenre Ahmose and was sister to Pharaoh Seqenenre Tao, and the queens Ahhotep I and Sitdjehuti. She was married to her (half-)brother Seqenenre Tao and they had a daughter, Ahmose-Henuttamehu."
21,Ahmose-Meritamon,Princess,17th dynasty,(fl. c. late-16th century BC),She was probably a daughter of Seqenenre Tao. Her mummy was found in the Deir el-Bahri cache and is now in the Egyptian Museum in Cairo.
22,Ahmose-Meritamun,Princess / Queen,18th dynasty,(fl. c. late-16th century BC),"Daughter of Ahmose I and Ahmose Nefertari, and was queen of her brother Amenhotep I."
23,Ahmose-Nebetta,Princess,17th dynasty,(fl. c. mid-16th century BC),Probably the daughter of Seqenenre Tao and a sister of Ahmose I.
24,Ahmose Nefertari,Princess / Queen,17th/18th dynasty,(fl. c. mid to late-16th century BC),"A daughter of Seqenenre Tao and Ahhotep I, and royal sister and the wife of pharaoh Ahmose I. Following Ahmose I's death, Ahmose-Nefertari became the regent for her son Amenhotep I and ruled until he was old enough to rule on his own."
25,Ahmose Pen-Nekhebet,Military Commander,18th dynasty,(fl. c. late-16th to early-15th century BC),An Egyptian official and military commander who started his career under Ahmose I and served all subsequent pharaohs until Thutmose III.
26,Ahmose Sapair,Prince,17th dynasty,(fl. c. mid-16th century BC),Probably a son of Pharaoh Seqenenre Tao and a brother of Ahmose I.
27,Ahmose-Sitamun,Princess,18th dynasty,(fl. c. late-16th century BC),The daughter of Pharaoh Ahmose I and sister of Amenhotep I. A colossal statue of hers stood before the eighth pylon at Karnak.
28,Ahmose called Si-Tayit,Viceroy of Kush,18th dynasty,(fl. c. late-16th century BC),"Viceroy of Kush during the reign of Ahmose I. Possibly the first Viceroy to serve in that capacity. Early in the reign of Amenhotep I, the position passed from Si-Tayit to his son Ahmose called Turo."
29,Ahmose-Sitkamose,Princess / Queen,17th/18th dynasty,(fl. c. late-16th century BC),Probably the daughter of Pharaoh Kamose. She probably married Ahmose I. Also called Sitkamose.
30,Ahmose-Tumerisy,Princess,17th dynasty,(fl. c. mid-16th century BC),Probably a daughter of pharaoh Seqenenre Tao and a sister of Ahmose I.
31,Ahmose called Turo,Viceroy of Kush,18th dynasty,(fl. c. late-16th century BC),Viceroy of Kush under Amenhotep I and Tuthmosis I. Son of Ahmose called Si-Tayit.
32,Akhenaten,Pharaoh,18th dynasty,(reigned c. 1353 BC – c. 1336 BC),Was known before the 5th year of his reign as Amenhotep IV (or Amenophis IV). He abandoned traditional Egyptian polytheism and introducing worship centered on Aten. Also called Echnaton or Akhenaton.
33,Akhraten,King of Kush,,(reigned c. 350 BC – c. 335 BC),Possibly a son of Harsiotef and a brother of Nastasen. Akhraten may have been succeeded by Nastasen.
34,Alara of Nubia,King of Kush,,(fl. c. early-8th century BC),The founder of the Napatan royal dynasty and was the first recorded prince of Nubia. He unified all of Upper Nubia from Meroë to the Third Cataract. His successors would comprise the 25th Dynasty of Egypt.
35,Alexander Helios,Prince,Ptolemaic,(40 BC – c. 29 BC),Eldest son of queen Cleopatra VII and Roman triumvir Mark Antony.
36,Amanibakhi,King of Kush,,(fl. c. mid-4th century BC),Kushite King of Meroe. The successor of Akhraten and the predecessor of Nastasen.
37,Amanineteyerike,King of Kush,,(fl. c. late-5th century BC),"Kushite King of Meroe. The son of King Malewiebamani, and brother of Baskakeren. His predecessor Talakhamani was either an older brother or an uncle. His name is also written as Amanneteyerike, Aman-nete-yerike, or Irike-Amannote."
38,Amasis II,Pharaoh,26th dynasty,(reigned c. 570 BC – c. 526 BC),"Based at Sais and the successor to Apries. Under Amasis II, Egypt's agricultural based economy reached its zenith. He was able to defeat an invasion of Egypt by the Babylonian king Nebuchadrezzar II. Also called Ahmose II."
39,Amenemhat I,Pharaoh,12th dynasty,(reigned c. 1991 BC – c. 1962 BC),The first ruler of the 12th dynasty. Amenemhat I was a vizier of his predecessor Mentuhotep IV. He moved the capital from Thebes to Itjtawy.
40,Amenemhat II,Pharaoh,12th dynasty,(reigned c. 1929 BC – c. 1895 BC),"The third pharaoh of the 12th dynasty of Egypt. He was the son of Senusret I through the latter's chief wife, Queen Neferu III."
41,Amenemhat III,Pharaoh,12th dynasty,(reigned c. 1860 BC – c. 1814 BC),Sixth king of the 12th dynasty. Son of Senusret III.
42,Amenemhat IV,Pharaoh,12th dynasty,(reigned c. 1815 BC – c. 1806 BC),Seventh king of the 12th dynasty. Possibly a son of Amenemhat III.
43,Amenemhat V Sekhemkare,Pharaoh,13th dynasty,(fl. c. early 18th century BC),An Egyptian king of the 13th Dynasty. He appears as 'Sekhemkare' in the Turin King List.
44,Amenemhet VI,Pharaoh,13th dynasty,(fl. c. mid-18th century BC),The seventh king of the Thirteenth Dynasty according to the Turin Canon.
45,Amenemhat,Nomarch,12th dynasty,(fl. 20th century BCE),"Also known as Ameny, a governor at Men'at Khufu during the reign of pharaoh Senusret I."
46,Amenemhat,High Priest of Amun,18th dynasty,(fl. c. late-15th century BC),High Priest of Amun during the reign of pharaoh Amenhotep II.
47,Amenemhat,Prince,18th dynasty,(fl. c. mid-15th century BC),Son of Pharaoh Thutmose III. He was the eldest son and appointed heir but predeceased his father.
48,Amenemhat,Prince,18th dynasty,(fl. c. early-14th century BC),The son of Pharaoh Thutmose IV. He died young and was buried in his father's tomb.
49,Amenemhatankh,Prince,12th dynasty,(fl. c. early 19th century BC),A son of Amenemhat II.
50,Amenemipet called Pairy,Vizier,18th dynasty,(fl. c. late-15th century BC),He served during the reigns of Amenhotep II and Thutmose IV.
51,Amenemnisu,Pharaoh,21st dynasty,(reigned c. 1051 BC – c. 1047 BC),Second pharaoh of the 21st dynasty. Only ruled 4 years.
52,Amenemope,Pharaoh,21st dynasty,(reigned c. 1001 BC – c. 992 BC),"The son of Psusennes I and Queen Mutnedjemet. He was the successor to his father, and after c. 9 years of rule, he was succeeded by Osorkon the Elder. AMenemope was buried in Tanis."
53,Amenemopet,Prince,18th dynasty,(fl. c. late-15th century BC),"He was probably a son of Amenhotep II. Known from stela from Giza, and possibly depicted on the stela of the royal nurse Senetruiu."
54,Amenemopet,Princess,18th dynasty,(fl. c. early-14th century BC),She was probably a daughter of Thutmose IV. Buried with other royal princesses in the Sheikh Abd el-Qurna cache.
55,Amenemopet,Viceroy of Kush,19th dynasty,(fl. c. early-13th century BC),Served as Viceroy of Kush during the reign of the 19th dynasty pharaoh Seti I.
56,Amenemope,Scribe,Ramesside,(fl. c. late-12th century BC),"Amenemope, son of Kanakht, is thought to be the author of the Instruction of Amenemope, an Egyptian text written in the Ramesside Period. His discourses are presented in the traditional form of instructions from father to son on how to live a good and moral life."
57,Amenhotep I,Pharaoh,18th dynasty,(reigned c. 1526 BC – c. 1506 BC),The second pharaoh of the 18th dynasty of Egypt. He was the son of Ahmose I and queen Ahmose-Nefertari. He inherited an enlarged kingdom formed by his father's military conquests and maintained dominance over Nubia and the Nile Delta. Also called Amenophis I'.
58,Amenhotep II,Pharaoh,18th dynasty,(reigned c. 1427 BC – c. 1400 BC),The son of Thutmose III and Queen Merytre-Hatshepsut. Also called Amenophis II'.
59,Amenhotep III,Pharaoh,18th dynasty,(reigned c. 1391 BC – c. 1353 BC),"The son of Thutmose IV and queen Mutemwia. His lengthy reign was a period of unprecedented prosperity and artistic splendour, when Egypt reached the peak of her artistic and international power. Also called Amenophis III'."
60,Amenhotep IV,Pharaoh,18th dynasty,,Son of Amenhotep III and Queen Tiye. Changed his name to Akhenaten in the 4th year of his reign.
61,"Amenhotep, son of Hapu",Architect,18th dynasty,(fl. c. mid-14th century BC),"Amenhotep, son of Hapu, was an architect, a priest, a scribe, and a public official, who held a number of offices under Pharaoh Amenhotep III."
62,Amenhotep,High Priest of Amun,18th dynasty,(fl. c. mid-15th century BC),A High Priest in the Temple of Amun.
63,Amenhotep,High Priest of Amun,20th dynasty,(fl. c. late-12th century BC),High priest of Amun under the 20th dynasty pharaohs Ramesses IX to Ramesses XI. He was also the vizier and first prophet of Amun-resonther.
64,Amenhotep,Prince,18th dynasty,(fl. c. late-15th century BC),A son and possibly the designated heir of Amenhotep II.
65,Amenhotep Huy,High steward of Memphis,18th dynasty,(fl. c. mid-14th century BC),Amenhotep-Huy was the high steward of Memphis under Amenhotep III. He was one of the highest officials at the royal court.
66,Amenhotep-Huy,Vizier,18th dynasty,(fl. c. mid-14th century BC),He served during the reign of the 18th dynasty pharaoh Amenhotep III. He was also director of Upper and Lower Egypt and overseer of all the works of the King in Upper and Lower Egypt.
67,Amenia,Noble Woman,18th dynasty,(fl. c. late-14th century BC),"The first wife of the pharaoh Horemheb, the last ruler of the 18th dynasty. Amenia died before Horemheb became Pharaoh. Buried in Saqqara."
68,Amenirdis I Khaneferumut,God's Wife of Amun,25th dynasty,(fl. c. 714 BC – c. 700 BC),"She was a Kushite princess, daughter of Pharaoh Kashta and Queen Pebatjma."
69,Amenirdis II,Divine Adoratrice of Amun,25th dynasty,(fl. c. 650 BC – c. 640 BC),"A daughter of the Kushite pharaoh Taharqa and was adopted by Shepenupet II, daughter of Piye, to become Divine Adoratrice of Amun."
70,Amenmesse,Pharaoh,19th dynasty,(reigned c.1202 BC – c.1199 BC),"Possibly the son of Pharaoh Merneptah and Queen Takhat. Amenmesse likely usurped the throne from Seti II, Merneptah's son. The two may have ruled as rivals until Seti II defeated Amenmesse. Also called Amenmesses or Amenmose."
71,Amenmose,Noble man,18th dynasty,(fl. c. mid-15th century BC),He was an Egyptian noble who lived during the reigns of the Pharaohs Thutmose III and Amenhotep II.
72,Amenmose,Prince,18th dynasty,(fl. c. late-16th century BC),The eldest son and designated heir of Thutmose I. He predeceased his father.
73,Amenmose,Vizier,19th dynasty,(fl. c. late-13th century BC),Vizier of Egypt during the reigns of the Pharaohs Amenmesse and Seti II.
74,Amethu called Ahmose,Vizier,18th dynasty,(fl. c. mid-15th century BC),He held this position during the reigns of the Pharaohs Thutmose II and Hatshepsut and during the early years of the reign of Thutmose III.
75,Ameny Qemau,Pharaoh,13th dynasty,(fl. c. mid-18th century BC),Ameny Qemau ruled during the early 13th dynasty. A pyramid in southern Dahshur was constructed for him. Possibly also known as Sehotepibre.
76,Ammeris,Governor of Sais,26th dynasty,(died c. 695 BCE),"A vassal of Shabaka of the 25th dynasty, installed as governor of Sais by him."
77,Amun-her-khepeshef,Prince,19th dynasty,(fl. c. 1280 BC – c. 1250 BC),The first-born son of the 19th dynasty Pharaoh Ramesses II and Queen Nefertari. He was the crown prince of Egypt but predeceased his father. His name is also written as Amonhirkhopshef and earlier in his life as Amun-her-wenemef.
78,Amun-her-khepeshef,Prince,20th dynasty,(fl. c. early-12th century BC),The eldest son and appointed heir of the 20th dynasty Pharaoh Ramesses III.
79,Amyrtaeus,Pharaoh,28th dynasty,(reigned 404 BC – 399 BC),"The only king of the 28th dynasty of Egypt who ruled after the first Persian occupation of Egypt. Amyrtaeus started a revolt against Darius II of Persia in 411 BC and following the death of Darius declared himself king. Amyrtaeus was defeated in a battle with his successor, Nepherites I of Mendes, and executed. Also known as Amenirdisu of Sais."
80,Analmaye,King of Kush,,(fl. c. mid-6th century BC),He succeeded King Malonaqen and was in turn succeeded by King Amaninatakilebte.
81,Anat-her,"Pharaoh, prince or chieftain",15th or 16th dynasty or contemporaneous with 12th dynasty,(fl. c. late-19th to mid-17th century BC),"Obscur semitic ruler during the second intermediate period. Possibly a vassal of the Hyksos, a Hyksos prince, or a Canaanite chieftain contemporaneous with the 12th dynasty."
82,Anedjib,Pharaoh,1st dynasty,(fl. c. 30th century BC),Possibly a son of King Den.
83,Anen,Second Prophet of Amun,18th dynasty,(fl. c. mid-15th century BC),"Anen was the brother of Queen Tiye, the wife of Amenhotep III."
84,Anhotep,Viceroy of Kush,19th dynasty,(fl. c. 13th century BC),Viceroy of Kush during the reign of Ramesses II.
85,Ankh-ef-en-Khonsu i,Priest of Monthu,25th/26th dynasty,(fl. c. mid-8th century BC),"He is best known under the name of Ankh-af-na-khonsu, and as the dedicant of the so-called Stela of Revealing"
86,Ankhefensekhmet,High Priest of Ptah,21st dynasty,(fl. c. mid-10th century BC),He probably served during the reigns of king Psusennes II and king Shoshenq I.
87,Ankherfenedjef,Prince,4th dynasty,(fl. c. 26th century BC),"He was a son of Nefermaat, the eldest son of pharaoh Sneferu, and of Itet."
88,Ankhesenamen,Queen,18th dynasty,(fl. c. late-14th century BC),"Named Ankhesenpaaten at her birth, she was a daughter of the Egyptian Pharaoh Akhenaten and Nefertiti and became queen to her (half-) brother Tutankhamun. Following their marriage, the couple honored the deities of the restored religion by changing their names to Tutankhamun and Ankhesenamen."
89,Ankhesenpaaten Tasherit,Princess,18th dynasty,(fl. c. mid-14th century BC),She was probably the daughter of Ankhesenamun (who was named Ankhesenpaaten as a princess) and Akhenaten.
90,Ankhesenpepi I,Queen,6th dynasty,(fl. c. 24th century BC),"A queen consort to Pharaoh Pepi I. Ankhesenpepi was a daughter of Nebet, the female vizier, and her husband Khui. Also called Ankhenesmeryre I."
91,Ankhesenpepi II,Queen,6th dynasty,(fl. c. 23rd century BC),"Ankhesenpepi was a daughter of Nebet, the female vizier, and her husband Khui. Ankhesenpepi II was married to Pharaoh Pepi I and later was a queen to Merenre Nemtyemsaf I. Also called Ankhenesmeryre II."
92,Ankhesenpepi III,Queen,6th dynasty,(fl. c. 23rd century BC),She was a daughter of Nemtyemsaf I and she became the wife of Pepi II.
93,Ankhesenpepi IV,Queen,6th dynasty,(fl. c. 23rd century BC),Queen of Pharaoh Pepi II. She was the mother of 7th dynasty king Neferkare II.
94,Ankhhaf,"Prince, Vizier",4th dynasty,(fl. c. 26th century BC),An Egyptian prince who served as vizier and overseer of works for King Khafre. Ankhhaf was a son of pharaoh Sneferu.
95,Ankhkherednefer,Official,22nd dynasty,(fl. c. mid-9th century BC),He served under pharaoh Osorkon II. His name is also written as Ankhrenepnefer and Ankhsherynefer.
96,Ankhmakis,Local King,Ptolemaic,(fl. early 2nd century BC),"He was the second king (reigned c.199 BC – c.185 BC) of a dynasty which controlled much of Upper Egypt during the reigns of the Egyptian kings Ptolemy IV and Ptolemy V. His name is also written as: Ankhonnophris, Khaonnophris, Chaonnophris and Ankmachis."
97,Ankhmare,"Prince, Vizier",4th dynasty,(fl. c. 26th century BC),Son of King Khafre. Served as vizier.
98,Ankhnesneferibre,God's Wife of Amun,26th dynasty,(fl. c.mid-6th century BC),Ankhnesneferibre was the daughter of Psamtik II and his wife Takhuit. She governed Thebes until the Persian conquest of Egypt in 525 BC.
99,Ankhreshet,Prince,4th dynasty,(fl. c. 26th century BC),"A son of Nefermaat, the eldest son of pharaoh Sneferu, and of Itet. His name is also written as Ankhersheretef."
100,Ankhtifi,Nomarch of Hierakonpolis,10th/11th dynasty,(fl. c. 22nd century BC),He was the nomarch of Hierakonpolis and a supporter of the Herakleopolitan-based 10th dynasty which was locked in conflict with the Theban-based 11th Dynasty kings for control of Egypt.
101,Ankhu,Vizier,13th dynasty,(fl. c. late 18th century BC),He was vizier during the reigns of King Khendjer and King Sobekhotep II.
102,Anlamani,King of Kush,,(reigned c. 620 BC – c. 600 BC).,"During his reign, Kush experienced a revival in its power in the region."
103,'Apepi,Pharaoh,14th dynasty,(fl. c. mid-17th century BC),Obscur pharaoh of Canaanite descent reigning in the late 14th Dynasty.
104,Apepi,Pharaoh,15th dynasty,(fl. c. mid-16th century BC),"Penultimate Hyksos ruler of Lower and Middle Egypt, belonging to the 15th dynasty and reigning towards the end of the Second Intermediate Period. Also known as Ipepi or Apophis."
105,Aperanat,Pharaoh,15th or 16th dynasty,(fl. c. mid to late 17th century BC),"Semitic ruler of Lower Egypt, easier an early Hyksos king of the 15th Dynasty or a vassal of the Hyksos kings."
106,Aperel,Vizier,18th dynasty,(fl. c. mid-14th century BC),Also known as Aperia. He was a vizier of Egypt who served during the reigns of the 18th dynasty pharaohs Amenhotep III and Akhenaten.
107,Apries Wahibre Haaibre,Pharaoh,26th dynasty,(reigned c. 589 BC – c. 567 BC),"During his reign, a civil war broke out between Egyptian army troops and foreign mercenaries in the Egyptian army. Egyptians turned for support towards a victorious general, Amasis II, who declared himself pharaoh and Apries fled Egypt."
108,Aramatle-qo,King of Kush,,(fl. c. mid-6th century BC),"Also known as Amtalqa, he was a Nubian king who was the son and successor of King Aspelta and Queen Henuttakhbit."
109,Aristomenes of Alyzia,"Regent, Minister",Ptolemaic,(fl. c. early 2nd century BC),"Also known as Aristomenes the Acarnanian. He was regent and chief minister of Egypt in the Ptolemaic period during the reign of the boy king Ptolemy V. Around 196 BC, Ptolemy V took personal control of his kingdom, but Aristomenes remained chief minister until he was removed from power in 192 BC."
110,Arsinoe I,Queen,Ptolemaic,(c. 305 BC – c. 247 BC),"First wife of Ptolemy II of Egypt. They had three children, including his successor Ptolemy III of Egypt. Around 274 BC, she was accused by Arsinoe II of plotting against him and went in exile."
111,Arsinoe II,Queen,Ptolemaic,(316 BC–270 BC),"Queen of Thrace, Asia Minor and Macedonia and wife of King Lysimachus, her half-brother Ptolemy Keraunos and later co-ruler of Egypt with her brother and husband King Ptolemy II Philadelphus."
112,Arsinoe III,Queen,Ptolemaic,(c. 246 BC – 204 BC),"She was a daughter of Ptolemy III and Berenice II. In 220 BC she married her brother, Ptolemy IV and became queen of Egypt. She reigned 220 BC – 204 BC. She was murdered in a palace coup, shortly after her husband's death."
113,Arsinoe IV,Queen,Ptolemaic,(c. 68 BC–41 BC),"A daughter of Ptolemy XII Auletes. Arsinoe IV was a half-sister of Cleopatra VII and Ptolemy XIII. When Julius Caesar arrived in Alexandria in 48 BC and sided with Cleopatra VII, Arsinoe escaped from Alexandria but was later captured and taken to Rome. She lived in a temple in Ephesus until Cleopatra VIII arranged for Mark Antony to have her murdered."
114,Artakama,Queen,Ptolemaic,fl c. 4th century BC,The second wife of Ptolemy I Soter. Artakama married Ptolemy (then a general) in April 324 BC at the Susa marriage festival as ordered by Alexander the Great.
115,Ashakhet I,High Priest of Ptah,21st dynasty,(fl. c. mid-11th century BC),Served as high priest during the reigns of Amenemnisu and possibly Psusennes I.
116,Ashakhet II,High Priest of Ptah,21st dynasty,(fl. c. mid-10th century BC),He served during the reigns of King Siamun and King Psusennes II.
117,Aspelta,King of Kush,,(reigned c. 600 BC – c. 580 BC),"A ruler of the kingdom of Kush. Egyptian forces invaded Kush because Pharaoh Psamtik II saw Aspelta as a threat to his authority over Upper Egypt. The capital, Napata, was sacked so Aspelta moved the Nubian capital to Meroë."
118,Atakhebasken,Queen,25th dynasty,(fl. c. late 8th century BC),Also known as Akhetbasaken. She was the queen consort to pharaoh Taharqa.
119,Atlanersa,King of Kush,,(reigned c. 656 BC – c. 640 BC),"A Nubian king who was the successor of Tantamani, the last ruler of the 25th Nubian dynasty in Egypt. In contrast to his predecessor, Atlanersa's kingdom was restricted to the region of Kush south of Aswan."
120,Ay Kheperkheprure,Pharaoh,18th dynasty,(reigned c. 1323 BC – c.1319 BC),"The penultimate pharaoh of Egypt's 18th dynasty. He was pharaoh for a brief period, although he was a close advisor to two or three of the pharaohs who reigned before him and was the power behind the throne during Tutankhamun's reign."
121,(Queen),Queen,13th dynasty,(fl. c. late-18th century BC),Possibly the wife of the 13th dynasty king Sobekhotep II.
122,Babaef,Vizier,4th dynasty,(fl. c. 26th century BC),Also known as Khnumbaf. He was a vizier during the reign of king Shepseskaf. He was probably the son of the vizier Duaenre.
123,Bakenkhonsu,High Priest of Amun,19th dynasty,(c. 1303 BC – c. 1213 BC),From the time of pharaoh Ramesses II.
124,Bakenranef,Pharaoh,24th dynasty,(reigned 725 BC – 720 BC),"Also known as Bocchoris. Was briefly a king of the 24th dynasty of Egypt. Based at Sais in the western Delta. Captured and executed by Shabaka, a king of the 25th dynasty."
125,Bakenrenef,Vizier,26th dynasty,(7th century BCE),From the time of pharaoh Psamtik I.
126,Baketwernel,Queen,20th dynasty,(fl. c. late-12th century BC),Great Royal Wife of Ramesses IX.
127,Baqet III,Nomarch of Men'at Khufu,11th dynasty,(fl. c. 21st century BCE),From the time of pharaoh Mentuhotep II.
128,Baskakeren,King of Kush,,(fl. c. late-5th century BC),King of Kush (reigned c. 405 BC – c. 404 BC) and was probably a son of King Malewiebamani and the younger brother of King Amanineteyerike. He succeeded Amanineteyerike to the throne.
129,Baufra,Prince,4th dynasty,(fl. c. 26th century BC),Also known as Baufre or Bauefre. Baufra was a son of Pharaoh Khufu.
130,Bay Irsu,Chancellor,19th dynasty,(fl. c. late-13th century BC),Served under pharaoh Seti II and later became an influential powerbroker in the closing stages of the 19th dynasty. Executed.
131,Bebi,Vizier,11th dynasty,fl. c. 21st century BC,Egyptian vizier under king Mentuhotep II.
132,Bebiankh,Pharaoh,16th dynasty,fl. c. early-16th century BC,Also known as Seuserenre Bebiankh. The successor of king Semenre.
133,Bebnum,Pharaoh,14th or 16th dynasty,fl. c. early to mid 17th century BC,Obscur ruler of Lower or Upper Egypt during the Second Intermediate Period. Only known from the Turin King List.
134,Behenu,Queen,6th dynasty,fl. c. 23rd century BC,She is thought to have been the wife of either Pepi I or of Pepi II.
135,Bek,Royal Sculptor,18th dynasty,fl. c. mid-14th century BC,"Chief royal sculptor during the reign of Pharaoh Akhenaten. Bek followed the king to Akhetaten, the city founded by Akhenaten. He oversaw the construction of the great temple statues of the king."
136,Beketamun,Princess,18th dynasty,(fl. c. mid-15th century BC),Also known as Beket. A daughter of Pharaoh Thutmose III.
137,Beketaten,Princess,18th dynasty,(fl. c. mid-14th century BC),She was the youngest daughter of Pharaoh Amenhotep III and Tiye and thus the sister of Pharaoh Akhenaten.
138,Benerib,Queen,1st dynasty,(fl. 31st century BC),"Benerib was most likely a wife of pharaoh Hor-Aha, but she was not the mother of his heir, Djer."
139,Berenice,Princess/Queen,Ptolemaic,(fl. 261 BC – 246 BC),"Also known as Berenice Syra. Daughter of the Egyptian king Ptolemy II Philadelphus and Arsinoe I. She married the Seleucid monarch Antiochus II Theos who divorced his wife, Laodice I. When Antiochus II died, Berenice claimed the regency for her son, Seleucus. However, both Berenice and her son were then killed by Laodice I."
140,Berenice I,Queen,Ptolemaic,(c. 340 BC – c. 275 BC),"A Macedonian noblewoman who, through her marriage to Ptolemy I Soter, became the first queen of the Ptolemaic dynasty of Egypt. Berenice travelled to Egypt as a lady-in-waiting to Eurydice, Ptolemy I's wife. Ptolemy I married Berenice in 317 BC."
141,Berenice II,Queen,Ptolemaic,(c. 267 BC – c. 221 BC),"The daughter of Magas of Cyrene and Queen Apama II. Her husband, Demetrius the Fair, a Macedonian prince, moved to Cyrene where he became the lover of her mother Apama. So Berenice had him killed in Apama's bedroom. Afterwards she married the Egyptian king, Ptolemy III Euergetes."
142,Berenice III,Queen,Ptolemaic,(120–80 BC),"She ruled jointly with her uncle/husband Ptolemy X Alexander I (101 BC–88 BC). After Ptolemy X died, Ptolemy IX Lathyros reclaimed the throne, but when he died in 81 BC, Berenice took over the throne. The Roman Republic intervened and forced her to marry Ptolemy XI Alexander II, but he had her killed 19 days later."
143,Berenice IV,Queen,Ptolemaic,(77 BC – 55 BC),"Reigned 57 BC – 55 BC. She was a daughter of Ptolemy XII and Cleopatra V. After Cleopatra V's death, Berenice assumed the throne but was forced to marry Seleucus VII Kybiosaktes. So she had him murdered to remain sole ruler. After Ptolemy XII retook the throne with the aid of Roman soldiers, he had Berenice executed."
144,Betrest,Queen,1st dynasty,(fl. c. 30th century BC),Betrest was the mother of the pharaoh Semerkhet.
145,Bintanath,Queen,19th dynasty,(fl. c. 13th century BC),Also known as Bentanath. A daughter and later wife of the 19th dynasty Egyptian Pharaoh Ramesses II.
146,Buneb,Prince,4th dynasty,(fl. c. 26th century BC),"A son of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
147,Bunefer,Queen,4th/5th dynasty,(fl. c. 26th century BC),Bunefer's titles as a priestess of Shepseskaf mean she may have been a wife or daughter of Shepseskaf or she was the wife of king Thamphthis.
