,Hotel_Name,Location,Rate,Governorate
47,Basma Executive Club,"Elfanadek street, 81111, Aswan, Aswan Governorate",7.8,Aswan
48,Obelisk Nile Hotel Aswan,"Corniche El Nile, Aswan, Aswan",7.4,Aswan
49,Basma Hotel Aswan,"EI fanadek street, Aswan, 1111, Aswan",7.0,Aswan
50,Ajilika,"Hissa Island, Aswan, Aswan Governorate",,Aswan
51,Guesthouse Bet el Kerem,"Nagh El Kuba, Aswan, Aswan, Aswan Governorate",,Aswan
52,Anakob,"Aswan, Aswan Governorate",,Aswan
53,Benben By Dhara Hotels,"Philae Island, Aswan, Aswan Governorate",,Aswan
54,Citymax Hotel Aqua Park,Private host,,Aswan
55,Anakato Kiki,"West Sohil, Aswan, Aswan",,Aswan
56,Citymax Hotel Aswan,"Kornish Al Nile, Aswan",8.4,Aswan
57,Hadouta Masreya - Nubian Guest House,"Gharb Soheil, Aswan, Egypt",8.4,Aswan
58,The Mango Guesthouse,"Jazirat Aswan, Aswan, Aswan Governorate",8.4,Aswan
59,Maghrabi's Guest House,"Aswan west bank, naga El quba, Aswan, 81518, Aswan",9.6,Aswan
60,Kendaka Nubian House,"Nagaa Suhayl Gharb, Aswan, Aswan Governorate",9.0,Aswan
61,Nubian Kindom Aragheed House,"Street 2, Aswan, Aswan Governorate",10.0,Aswan
62,MS Movenpick Prince Abbas Nile Cruise,"Aswan Nile Cruise Port, Aswan, 00000, Aswan Governorate",8.0,Aswan
63,Nuba Narty,"Saloga and Gazal National Park, Aswan, 81111",8.0,Aswan
64,Hotel Longchamps Cairo,"21 Ismail Mohamed Street, Cairo",9.8,Cairo
65,The St. Regis Cairo,"1189 Corniche El Nil, Downtown Cairo, Cairo, Cairo",9.6,Cairo
66,Royal Maadi Hotel,"11, Rd.18, Sarayat El Maadi, Cairo",9.4,Cairo
67,Monte Cairo Serviced Apartment,"88 Mokattam Street, Mokattam, Cairo, 11571, Cairo Governorate",9.4,Cairo
68,Four Seasons Hotel Cairo at First Residence,"35 Giza Street, Giza, 12311",9.2,Cairo
69,"Staybridge Suites Cairo Citystars, an IHG Hotel","Emtedad Makram Obeid Street, Cairo, 11737",9.2,Cairo
70,Great Pyramid Inn,"14 Abou Al Hool Al Seiahi, Giza, 12561",9.2,Cairo
71,Al Madiafa,"4 Champollion Rd, Cairo, Cairo Governorate",9.0,Cairo
72,Valencia Hotel,"1 Seket Elfadl Talaat Harb Street, Cairo, 11512",9.0,Cairo
73,Le Méridien Cairo Airport,"Cairo Airport , Terminal 3, Cairo, 11341",9.0,Cairo
74,Le Riad Hotel de Charme,"114 El Moez St., Cairo",9.0,Cairo
75,Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9.0,Cairo
76,Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9.0,Cairo
77,Nile View Aton Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, Cairo Governorate",9.0,Cairo
78,Four Seasons Hotel Cairo at Nile Plaza,"1089 Corniche El Nile, Cairo, 11519",8.8,Cairo
79,Helnan Dreamland Hotel & Conference Center,"Wahat Road, Dreamland, 6th of October City",8.8,Cairo
80,JW Marriott Hotel Cairo,"Ring Road-Mirage City, New Cairo, 11757",8.8,Cairo
81,Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Cairo
82,Valencia Hotel,"1 Seket Elfadl Talaat Harb Street, Cairo, 11512",9.0,Cairo
83,Le Méridien Cairo Airport,"Cairo Airport , Terminal 3, Cairo, 11341",9.0,Cairo
84,Le Riad Hotel de Charme,"114 El Moez St., Cairo",9.0,Cairo
85,Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9.0,Cairo
86,Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9.0,Cairo
87,Nile View Aton Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, Cairo Governorate",9.0,Cairo
88,Four Seasons Hotel Cairo at Nile Plaza,"1089 Corniche El Nile, Cairo, 11519",8.8,Cairo
89,Helnan Dreamland Hotel & Conference Center,"Wahat Road, Dreamland, 6th of October City",8.8,Cairo
90,JW Marriott Hotel Cairo,"Ring Road-Mirage City, New Cairo, 11757",8.8,Cairo
91,Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Cairo
92,The Location Hotel,"34 Abdelkhalek tharwat ST, Cairo, Cairo",8.8,Cairo
93,Tahrir Plaza Suites,"19 Meret Basha St., Cairo, 99999, Cairo Governorate",8.8,Cairo
94,Kempinski Nile Hotel Cairo,"12 Ahmed Ragheb Street, Cairo, 11519, Cairo Governorate",8.8,Cairo
95,Steigenberger Hotel El Tahrir,"2, Kasr Al Nile Street, Downtown, Cairo, Cairo Governorate",8.8,Cairo
96,Safir Hotel Cairo,"Orman, El Missaha Square, Giza, 12611",8.8,Cairo
97,Desert Moon,"Hadayek Al Ahram 201W, Giza, 12611, Giza Governatore",8.8,Cairo
98,Havana Hotel Cairo,"26 syria street El mohandssen area, Giza, 12411, giza",8.6,Cairo
99,Zayed Hotel,"42 Abu El Mahasn El Shazly Square, Giza, 12411",8.6,Cairo
100,"InterContinental Cairo Citystars, an IHG Hotel","Omar Ibn El Khattab Street, Cairo, 11737",8.6,Cairo
101,1920s Boutique Hotel and Restaurants,"58 Beirut 2 smanod street, Heliopolis, Cairo, 11757",8.6,Cairo
102,"The Nile Ritz-Carlton, Cairo","1113 Corniche El Nil Street, Cairo, 11221",8.6,Cairo
103,Golden Hotel Cairo,"13 Talaat Harb st, Downtown, Cairo, 11111",8.6,Cairo
104,Pyramids Valley,"25 Abo Alhool Street, Giza, 12557, Giza",8.4,Cairo
105,Concorde El Salam Hotel,"65 Abdel Hamid Badawi St, Cairo, 11776",8.4,Cairo
106,Hyatt Regency Cairo West,"KM 22 Cairo - Alexandria Desert Road, 6th of October City, 8655, Cairo Governorate",8.4,Cairo
107,Pyramid edge,"Nazlet Al Seman Al Kebli, Giza, Giza Governorate",8.4,Cairo
108,Royal Day Hotel,"Royal Day Hotel,Motamayez, 6th of October City, Giza Governorate",8.4,Cairo
109,Regency Pyramids,"Al Shams, Giza, Giza Governorate",8.4,Cairo
110,Best View Pyramids Hotel,"13 Gamal Abd Nasser Street, Giza, 12557",8.4,Cairo
111,Villa Belle Epoque,"Road 13, Villa 63, Cairo",8.4,Cairo
112,Nine Pyramids View Hotel,"2st, Mohamed Hassab Salam, Mansoria, Giza, 12557, Giza Governorate",8.4,Cairo
113,Golden Pyramids Inn,"Nazlet Al Seman, Giza, 12557, Giza Governorate",8.4,Cairo
114,Swiss Inn Nile Hotel,"110, El Bahr El Aazem Street, Giza, 12211",8.2,Cairo
115,Novotel Cairo 6th Of October,"Ext. 26th of July St., 6th of October City, 0",8.2,Cairo
116,Jewel Zamalek Hotel,"26th of July Street, Zamalek, Cairo, Cairo Governorate",8.2,Cairo
117,Sahara Pyramids Inn,"14 Sphinx Street, Giza, 12561, Giza Governorate",8.2,Cairo
118,Osiris Hotel,"49 Nobar St, Down Town, Cairo, 11111",8.2,Cairo
119,Sheraton Cairo Hotel & Casino,"Galaa Square, Giza, 11511",8.2,Cairo
120,Conrad Cairo,"1191 Corniche El Nil, Cairo, 11221",8.2,Cairo
121,Steigenberger Pyramids Cairo,"Alexandria Road, Pyramids, Giza",8.2,Cairo
122,Columbia Hotel,"42 Talaat Harb, Cairo, Cairo Governorate",8.2,Cairo
123,New Palace Hotel,"17 Soliman El-Halaby, Cairo",8.0,Cairo
124,Sofitel Cairo Nile El Gezirah,"3 El Thawra Council St Zamalek, Cairo, 11518",8.0,Cairo
125,Hilton Cairo Zamalek Residences,"21 Mohamed Mazher Street, Cairo, 11211",8.0,Cairo
126,Panorama Pyramids Inn,"14 Abu el Houl Street, Giza, 12557, Giza Governorate",8.0,Cairo
127,Cairo Marriott Hotel & Omar Khayyam Casino,"16 Saray El Gezira, Cairo, 11211",8.0,Cairo
128,"Fairmont Nile City, Cairo","Nile City Towers - 2005 B, Cairo, 2466",8.0,Cairo
129,Swiss Inn Plaza,"Dreamland, Al wahat Road, 6th of October City",8.0,Cairo
130,City View Hotel,"1 El Bostan Street, Al-Tahrir Square, Cairo, 11513",8.0,Cairo
131,Lyly Hotel,"43 Sherif Basha, Cairo, Cairo Governorate",8.0,Cairo
132,Hilton Cairo Heliopolis,"EL-OROUBA, QISM EL-NOZHA, Cairo",8.0,Cairo
133,Royal Maxim Palace Kempinski Cairo,"Eastern Ring Road, New Cairo, 11477",8.0,Cairo
134,Golden Tulip Flamenco,"2 El Gezira El Wosta Street, Cairo, 11211",8.0,Cairo
135,Mena Inn Pyramids,"Abou Al Hool Al Seiahi, Pyramids, Giza, 12557",7.8,Cairo
136,"Holiday Inn Cairo Citystars, an IHG Hotel","Ali Rashid Street, Heliopolis, Cairo, 11757",7.8,Cairo
137,"Intercontinental Cairo Semiramis, an IHG Hotel","Corniche El Nil Street, Cairo, 11511",7.8,Cairo
138,Victory Of Downtown Hotel,"56 Kasr Al Nile, Cairo, 11518, Abdeen",7.8,Cairo
139,Tolip Golden Plaza,"Omar Ibn El khattab Street, Nasr City, Cairo",7.8,Cairo
140,St. George Hotel Cairo,"7 Radwan Ebn El-tabib, Giza, 12511, Giza Governorate",7.8,Cairo
141,Abdeen Palace Hotel,"2 Mohammed Sabri Abou Alam, 3rd floor, Cairo, Cairo Governorate",7.8,Cairo
142,Pharaohs Hotel,"12 Lotfi Hassouna Street, Giza, 12611, Giza Governorate",7.8,Cairo
143,Novotel Cairo El Borg,"3 Saraya El Gezira street, Cairo, 11111",7.6,Cairo
144,Pyramids Eyes Hotel,"Kafr Nassar Next to Kia Motors, Giza, Giza Governerate",7.6,Cairo
145,Barceló Cairo Pyramid,"229 Al Haram Road, Giza, 12111",7.6,Cairo
146,Amin hotel,"38 Falaky Square, Downtown, Cairo, 11311",7.6,Cairo
147,President Hotel,"22 Taha Hussein Str, Cairo",7.6,Cairo
148,The Square Boutique Hotel,"Talaat Harb Square Number 3, Cairo, 99999, Cairo Governorate",7.6,Cairo
149,Salma Hotel,"12 Moh. Kamel Morsi St., Giza, Giza Governorate",7.6,Cairo
150,Pyramids Sun Capital,"9 Abou Al Hool Al Seiahi, Giza, Giza Governorate",7.6,Cairo
151,The Gabriel,"Suncity mail, Autostrad Road, Cairo, 11335",7.6,Cairo
152,Minerva Grand Boutique,"39 Talat Harb, Cairo, 1164, Giza Governorate",7.6,Cairo
153,Dusit Thani LakeView Cairo,"The Lakeview, El Tesseen Street, New Cairo",7.6,Cairo
154,Gawharet Al Ahram Hotel,"103, Al Ahram St, Giza, 00202",7.6,Cairo
155,Azar Boutique Hotel,"09 Adly street, Cairo, 11111, Cairo",7.6,Cairo
156,Marvel Stone Hotel,"6 Gerier street, nazlet el semman, Giza, Giza, 12511",7.6,Cairo
157,Triumph Luxury Hotel,"New Cairo, New Cairo",7.6,Cairo
158,Le Passage Cairo Hotel & Casino,"Cairo Intl. Airport Road, Heliopolis, Cairo, 11361, Cairo Governorate",7.6,Cairo
159,hotel Velvet 1915,"2 Marouf Street, Cairo, 11552, Cairo Governorate",7.6,Cairo
160,Arabesque Hotel,"11 Ramses Street, Cairo, 15562",7.4,Cairo
161,New Star Zamalek Hotel,"34B Yehia Ibrahim, Cairo, 11561, Cairo",7.4,Cairo
162,Baron Hotel Cairo Heliopolis,"Ma'ahad Al Sahary Street, Cairo, 11361",7.4,Cairo
163,Triumph Plaza Hotel,"El Khalifa El Maamoun St. Heliopolis, Cairo, 258",7.4,Cairo
164,Cleopatra Hotel,"2 Al Bustan street, Downtown, Cairo, 11513, Egypt",7.4,Cairo
165,"Sonesta Hotel, Tower & Casino - Cairo","3 El Tayaran Street, Cairo",7.4,Cairo
166,Novotel Cairo Airport,"Salah Salem Highway, Cairo, 11776",7.2,Cairo
167,Cairo Pyramids Hotel,"Alexandria Road, Giza",7.2,Cairo
168,Al Masa Hotel,"Gameat Al Azhar, Qesm Than Madinet Nasr,, Cairo",7.2,Cairo
169,New President Hotel,"20 Taha Hussein st, Cairo",7.2,Cairo
170,Lotus Hotel,"12, Talaat Harb Street, Cairo",7.2,Cairo
171,Movenpick Hotel & Casino Cairo-Media City,"Wahat Road, 6th of October City, 12451",7.2,Cairo
172,New Panorama Hotel,"42 talaat.harb, Cairo, 11956, cairo",7.2,Cairo
173,Paris Hotel,"15 Talaat Harb Street, Cairo, 11111",7.2,Cairo
174,Royal Marshal Hotel,"4 El Khalifa El Maamoun St., Cairo, 11341, Egypt",7.2,Cairo
175,Grand Agor Hotel,"15 Sherif Street, Cairo, 11111",7.2,Cairo
176,Ramses Hilton,"1115 Corniche El Nile, Cairo, 12334",7.0,Cairo
177,Om Kolthoom Hotel & Tower,"5 Abu El Feda Street, Cairo",7.0,Cairo
178,Tut Pyramids View Hotel,"Gamal Abd El-nasir St., Giza, 12557",7.0,Cairo
179,Radisson Blu Hotel Cairo Heliopolis,"Abdel Hamid Badawy St, Cairo, 11787",7.0,Cairo
180,Hotel Velvet 1889,"118 Mohammed Farid, Cairo, Cairo Governorate",7.0,Cairo
181,Beirut Hotel,"56 Beirut Street, Cairo, Egypt",7.0,Cairo
182,Grand Palace Hotel,"14 Champollion Rd, Cairo, 11111",7.0,Cairo
183,Hilton Pyramids Golf,"Dreamland El Wahat Road,6th of October, 6th of October City, 2500",6.8,Cairo
184,Swiss Inn Hotel Cairo,"7 El Hegaz St. From Gamet El Dewal St., Giza, 12411",6.8,Cairo
185,Sydna All Hussain Hotel,"10 Al Aded, Cairo, Cairo Governorate",6.6,Cairo
186,Grand City Hotel,"Bostan Ibn Al Quraish El Tahrir Square, Cairo, 00202, Cairo Governorate",6.6,Cairo
187,Grand Nile Tower,"Corniche El Nil, Garden City, Cairo, 11519",6.6,Cairo
188,Oasis Hostel,"11 Ramsis St, 5th floor, Cairo, Cairo Governorate",6.6,Cairo
189,The Oasis Hotel Pyramids,"Cairo-Alexandria Desert Road, Giza",6.6,Cairo
190,Arabian Nights Hotel,"10 Al Aded Street off of Mansouria St., Cairo",6.6,Cairo
191,Sphinx Golden Gate Inn,"Building No 9 Sphinx Street, Giza, 12557, Giza Governorate",6.6,Cairo
192,Jewel Maadi Cabins and Club,"Maadi Corniche, Cairo, 11728, Cairo Governorate",6.6,Cairo
193,Hotel Velvet 1928,"8, Gawad Housny Street, Cairo, 02002, Cairo",6.6,Cairo
194,Maadi Hotel,"19 Misr Helwan Rd, Cairo, 11431, Egypt",6.4,Cairo
195,New City Hotel,"5 Talaat Harb, Cairo, Cairo Governorate",6.4,Cairo
196,Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Cairo
197,Panorama Ramsis Hotel & Cafe,"10 Saif Al Din Mahrani, Cairo, 3111",6.2,Cairo
198,Helnan Nile Island Hotel,"67 Abdulaziz Al Saud, Cairo, Cairo Governorate",6.0,Cairo
199,Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6.0,Cairo
200,New Hotel,"21 Adly, Cairo, Cairo Governorate",6.0,Cairo
201,Grand Talat Harb Plaza,"Talat Harb Square, 2, Cairo, 11121, Cairo Governorate",6.0,Cairo
202,Jewel Maadi Cabins and Club,"Maadi Corniche, Cairo, 11728, Cairo Governorate",6.6,Cairo
203,Hotel Velvet 1928,"8, Gawad Housny Street, Cairo, 02002, Cairo",6.6,Cairo
204,Maadi Hotel,"19 Misr Helwan Rd, Cairo, 11431, Egypt",6.4,Cairo
205,New City Hotel,"5 Talaat Harb, Cairo, Cairo Governorate",6.4,Cairo
206,Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Cairo
207,Panorama Ramsis Hotel & Cafe,"10 Saif Al Din Mahrani, Cairo, 3111",6.2,Cairo
208,Helnan Nile Island Hotel,"67 Abdulaziz Al Saud, Cairo, Cairo Governorate",6.0,Cairo
209,Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6.0,Cairo
210,New Hotel,"21 Adly, Cairo, Cairo Governorate",6.0,Cairo
211,Grand Talat Harb Plaza,"Talat Harb Square, 2, Cairo, 11121, Cairo Governorate",6.0,Cairo
212,Pyramids Park Resort Cairo,"Alexandria Desert Road-km 2.5, Giza, 12411",5.8,Cairo
213,Pyramisa Suites Hotel Cairo,"60 Giza Street, Giza, 12311",5.6,Cairo
214,Cairo Paradise Hotel,"41 Sherif Street, Cairo",5.6,Cairo
215,Grand Cairo Hotel,"5 Sherif El-Sagheer, Cairo, 11613, Cairo Governorate",5.4,Cairo
216,Aracan Pyramids Hotel,"198 El-Haram Street, Cairo, Giza, 12111",5.2,Cairo
217,New Hostgram Hotel,"26 Talaat Harb, Cairo, Cairo Governorate",5.0,Cairo
218,City Palace Hotel,"1 El Amir Qadadar Street , Tahrir Sq., Cairo",4.8,Cairo
219,Al Nabila Hotel,"4 Gameat el-Dowal el-Arabiya Street, Cairo",4.2,Cairo
220,Grand Lyly Hotel,"19 Adly street, Al Fawalah, Downtown, Cairo, Cairo Governorate",4.0,Cairo
221,Magic Golden Pyramids Inn,"El-Salam Street, Nazlet El-Saman, Giza, 12561, Giza Governorate",4.0,Cairo
222,Jewel Al Nasr Hotel & Apartments,"Rabaa al Adawiya Nasr City, Cairo, nasr city",4.0,Cairo
223,E2 Lodge Hotel Operated by Lemon Spaces,"North Extension of 3rd Industrial Zone, 6th of October City, 12566, Giza Governorate",3.4,Cairo
224,Claridge Hotel,"41 Talaat Harb, Cairo, 11613, Cairo Governorate",2.0,Cairo
225,Jewel Inn El Bakry Hotel,"47 Ibn Sender Street, Kobry El-Koba, Cairo, 11765, Cairo",2.0,Cairo
226,Jewel Dokki Hotel,"11 El-Batal Ahmed Abd El-Aziz, Giza, Giza Governorate",2.0,Cairo
227,Nour Elsabah Hotel,"6 Mamar Seket Elbadestan, Khan Elkhalili, Cairo, 11675",,Cairo
228,Pyramids View Apartments & Rooftop,"69 H Pyramids Gardens, Giza, 12345, Giza Governorate",,Cairo
229,Galaxy Royal Suites Hotel,"Abdulaziz Al Saud 67, Cairo, 11553",,Cairo
230,Abou 3Pyramids Plaza Hotel,"Al mansouria, Giza, 12511, Giza Governorate",,Cairo
231,100 Night per year at Grand Blue Hotels,"24 Mahmoud Basuony St., Cairo",,Cairo
232,Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Cairo
233,Gresham,"20 Talaat Harb Street, Cairo",,Cairo
234,Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Cairo
235,jasmine Hotel EL Manial,"137 Abdulaziz Al Saud Street, Cairo, 11451, Cairo Governorate",,Cairo
236,Royal Day Plaza Hotel,"Ramo Square, 6th of October City, Giza Governorate",,Cairo
237,Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Cairo
238,Joy Hotel,"31 Champollion Rd Talaat Harb, Cairo, Cairo, 11513, Cairo Governorate",,Cairo
239,Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Cairo
240,Nile Island View hotel,Private host,,Cairo
241,the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Cairo
242,Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Cairo
243,Gresham,"20 Talaat Harb Street, Cairo",,Cairo
244,Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Cairo
245,jasmine Hotel EL Manial,"137 Abdulaziz Al Saud Street, Cairo, 11451, Cairo Governorate",,Cairo
246,Royal Day Plaza Hotel,"Ramo Square, 6th of October City, Giza Governorate",,Cairo
247,Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Cairo
248,Joy Hotel,"31 Champollion Rd Talaat Harb, Cairo, Cairo, 11513, Cairo Governorate",,Cairo
249,Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Cairo
250,Nile Island View hotel,Private host,,Cairo
251,the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Cairo
252,Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Cairo
253,Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Cairo
254,Le Méridien Pyramids Hotel & Spa,"El Remaya Square-Pyramids, Giza, 12561",8.4,Cairo
255,Egypt Pyramids Inn,"1 Abou Al Hool Al Seiahi, Giza, Giza Governorate",8.4,Cairo
256,Pearl Hotel,"32, Streets 7, Maadi, Cairo, 11431",8.2,Cairo
257,New Cairo Heart Hotel,"17 Bustan Street, Cairo, 55101",8.0,Cairo
258,Pyramids Height Inn,"EMRO Al Kais, Giza, Giza Governorate",8.0,Cairo
259,Adonis Nile Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, 11513, Cairo Governorate",8.0,Cairo
260,Hor Moheb Hotel,"429 Pyramids Road, Giza, 99999, Giza Governorate",10.0,Cairo
261,Great View Apartment,"60 Gamal Abd El-Nasir, Giza, 12557, Giza Governorate",10.0,Cairo
262,Cozy Studios Pyramids View,"20 Abou Al Hool Al Seiahi, Giza, 12557, Giza Governorate",8.0,Cairo
263,Happy City Hotel,"92 C Mohamed Farid St, Abdin, Cairo, 11121",8.0,Cairo
264,Pyramids Empire Inn,"Zawya Abou Muslim, Mansuriya Road, Giza, 12841, Giza Governorate",9.0,Cairo
265,Vibes Hostel & SPA,"Noaman Gomaa, Obour City, 11828, Qalyubia Governorate",10.0,Cairo
266,Tropitel Dahab Oasis Resort,"Blue Hole Road Dolphin Bay 0 3, Dahab, 0, South Sinai Governorate",8.0,Dahab
267,Daniela Village Dahab,"43 Blue Hole Road, Dahab, South Sinai Governorate",8.2,Dahab
268,Swiss Inn Resort Dahab,"Dahab, St. Catherine, 46111, South Sinai Governorate",8.8,Dahab
269,Jaz Dahabeya,"Lagoon Area, St. Catherine, South Sinai Governorate",9.0,Dahab
270,Bedouin Moon Hotel,"Blue Hole Road, St. Catherine, South Sinai Governorate",8.2,Dahab
271,Golden Star Camb,"Al Masbet 4, Dahab, St. Catherine, 46617, South Sinai Governorate",,Dahab
272,Sheikh Ali Dahab Resort,"New Mashraba Street, St. Catherine, South Sinai Governorate",10.0,Dahab
273,Le Meridien Dahab Resort,"South Sinai, St. Catherine, South Sinai Governorate",7.4,Dahab
274,Golden Europe Hotel,"1 Lighthouse Road, Dahab, St. Catherine, 46617, South Sinai Governorate",8.0,Dahab
275,Family Dahab House,"St. Catherine, South Sinai Governorate",,Dahab
