,Restaurant_Name,Governorate,Rate
179,BusStopNabq,Sharm El Sheikh,4.5
180,RedaHelmyB,Ismailia,4
181,HassanAboAliForSeafood,Ismailia,4
182,PizzaMelodies,Ismailia,4
183,Flames,Ismailia,4.5
184,AlfanarRestaurant,Ismailia,5
185,Cilantro,Ismailia,4
186,Titoristorantepizzeriacaffe,Ismailia,4.5
187,ElSalaAlaElNaby,Ismailia,4
188,ThebesPastry,Ismailia,4
189,Euphoria,Ismailia,4.5
190,Zanobia,Ismailia,5
191,Cup&Cone,Ismailia,5
192,HelmySonsForB,Ismailia,5
195,SteigenbergerNilePalaceLuxorRestaurants,Luxor,5
196,AishaRestaurant,Luxor,5
197,ElTarboush,Luxor,4.5
198,Al-SahabyLaneRestaurant,Luxor,4.5
199,SofraRestaurant&Cafe,Luxor,4.5
200,PizzaRoma-it,Luxor,4.5
201,TheLanternRoomRestaurant,Luxor,4.5
202,SunflowerRestaurantWestbank,Luxor,4.5
203,SunRiseRestaurant,Luxor,4.5
204,Snobs,Luxor,4.5
205,OasisPalace,Luxor,4.5
206,ATasteofIndia&ArabiaInternationalRestaurantPlusBar,Luxor,4.5
207,Gerda'sGarden,Luxor,4.5
208,AfricaRestaurant,Luxor,4.5
209,Tutankhamon,Luxor,4.5
210,TheKingsHeadPubandRestaurant,Luxor,4.5
211,AboudiBreak,Luxor,4.5
212,TuttiFruttiRestaurant,Luxor,4.5
213,NileViewRestaurant,Luxor,4.5
214,NubianHouseRestaurant,Luxor,5
215,EsquireRestaurantandBar,Luxor,5
216,SecretGardenCafe,Luxor,4.5
217,1886Restaurant,Luxor,4
218,KamThaiTakeaway,Luxor,4.5
219,ElwahaRestaurant&coffeshop,Luxor,5
220,WolfRestaurant,Luxor,5
221,SonestaSt,Luxor,4.5
222,Marsam,Luxor,5
223,OasisCafe,Luxor,4.5
224,Cafe&RestaurantMaratonga-MedinetHabu,Luxor,4.5
225,Kamona,Mersa_Matruh,4
226,Corallo-SeaFood-AlmazaBay,Mersa_Matruh,4.5
227,Morgana-MediterraneanCusine–AlmazaBay,Mersa_Matruh,4.5
228,Sofra-MiddleEastCusine,Mersa_Matruh,4.5
229,McDonald's,Mersa_Matruh,4
230,HosnyForB,Mersa_Matruh,3.5
231,KFC,Mersa_Matruh,3.5
232,SaharRestaurant,Mersa_Matruh,4
233,Potato&Zalabya,Mersa_Matruh,4
234,AbouSultan,Mersa_Matruh,3.5
235,Kazoku,New_Cairo_City,5
236,LEXIE'S,New_Cairo_City,5
237,Tao,New_Cairo_City,5
238,TheSmokery,New_Cairo_City,4.5
239,Piccolino,New_Cairo_City,5
240,ChinoixRestaurant,New_Cairo_City,5
241,Cucina,New_Cairo_City,4.5
242,Romanov,New_Cairo_City,5
243,BabAlQasr,New_Cairo_City,5
244,JWSteakhouseCairoMirageCity,New_Cairo_City,4.5
245,LaPatisserie,New_Cairo_City,5
246,SHINKO,New_Cairo_City,5
247,Lucca,New_Cairo_City,4.5
248,Lemongrass,New_Cairo_City,5
249,Asmak,New_Cairo_City,4
250,VibesLounge&Terrace,New_Cairo_City,5
251,El-khanRestaurant,New_Cairo_City,5
252,Plateau,New_Cairo_City,4.5
253,Tao,New_Cairo_City,5
254,GingerRestaurant,New_Cairo_City,5
255,Tamara,New_Cairo_City,4
256,Yana,New_Cairo_City,4.5
257,Eatery,New_Cairo_City,4
258,ElRehabCityFoodCourt,New_Cairo_City,4.5
259,VintageBar&Lounge,New_Cairo_City,4.5
260,Paul,New_Cairo_City,4
261,Crave,New_Cairo_City,4
262,TheTapEast,New_Cairo_City,4
263,RestaurantElMenoufyElKababgi,New_Cairo_City,4
264,CapitalGrill,New_Cairo_City,4.5
265,LordSweets,Port_Said,4.5
266,PizzaPino,Port_Said,4
267,Moodz,Port_Said,4.5
268,ElBorgRestaurantsForSeaFood,Port_Said,4
269,CentralPerk,Port_Said,4.5
270,Gianola,Port_Said,4
271,HighBurger,Port_Said,3.5
272,AbdouKofta,Port_Said,3.5
273,PizzaElmsree,Port_Said,5
274,Kastan,Port_Said,4
275,PizzaHut,Port_Said,3.5
280,PaneVinoRestaurant,Shubra_Al_Khaymah,4.5
281,SaigonRestaurant&Lounge,Shubra_Al_Khaymah,5
282,Beeja,Shubra_Al_Khaymah,5
283,L'UlivetoItalianRestaurant,Shubra_Al_Khaymah,5
284,SachiHeliopolis,Shubra_Al_Khaymah,5
285,Charlie'sRestaurant,Shubra_Al_Khaymah,5
286,KamalaatConradCairo,Shubra_Al_Khaymah,5
287,TheSmokeryHeliopolis,Shubra_Al_Khaymah,5
288,LaZisa,Shubra_Al_Khaymah,5
289,ESCA,Shubra_Al_Khaymah,5
290,Birdcage,Shubra_Al_Khaymah,4.5
291,Maat,Shubra_Al_Khaymah,5
292,Culina,Shubra_Al_Khaymah,5
293,O'sPasta,Shubra_Al_Khaymah,4.5
294,Vivo-TheNileRitz-Carlton,Shubra_Al_Khaymah,5
295,NamasteIndianRestaurant,Shubra_Al_Khaymah,4.5
296,LeMarche,Shubra_Al_Khaymah,5
297,PiccoloMondo,Shubra_Al_Khaymah,5
298,LobbyLounge,Shubra_Al_Khaymah,5
299,Bar'Oro,Shubra_Al_Khaymah,5
300,BabEl-Sharq,Shubra_Al_Khaymah,5
301,TheBlueRestaurant&Grill,Shubra_Al_Khaymah,5
302,Nisantasi,Shubra_Al_Khaymah,5
303,KosharyAbouTarek,Shubra_Al_Khaymah,4.5
304,AlKhalEgyptianRestaurant,Shubra_Al_Khaymah,5
305,OsmanlyRestaurant,Shubra_Al_Khaymah,5
306,FayruzLebaneseRestaurant,Shubra_Al_Khaymah,5
307,Lychee,Shubra_Al_Khaymah,4.5
308,CasaMiaItalianBrasserie,Shubra_Al_Khaymah,4.5
309,ElTorr,Shubra_Al_Khaymah,4.5
310,Oriental,Zagazig,4.5
311,MyBroastZagazig,Zagazig,5
312,Paradise,Zagazig,4
313,HatyElMolouk,Zagazig,4
314,MaximRestaurant,Zagazig,4
315,7DaysPizza,Zagazig,4
316,HatyBadr,Zagazig,4.5
317,AbouRashedPastry,Zagazig,4.5
318,SarawatRestaurant,Zagazig,3.5
319,SweetBassamGroup,Zagazig,3.5
320,Nino'sRestaurant,Hurghada,5
321,SyakeSushiHurghada,Hurghada,5
322,Nino'sRestaurant,Hurghada,5
323,MakaiTukaiRestaurant,Hurghada,5
324,MobyDick,Hurghada,5
325,Sofra,Hurghada,5
326,MakaiTukai,Hurghada,5
327,CoralloRestaurant,Hurghada,5
328,BeachRestaurant,Hurghada,4.5
329,TheGreekBar&Restaurant,Hurghada,5
330,Luca'sPub&Grub,Hurghada,5
331,WavesRestaurant&LoungeBar,Hurghada,5
332,TheMoonRestaurant,Hurghada,5
333,TheGrillRestaurant,Hurghada,5
334,BongoyoRestobar,Hurghada,5
335,AmayaRestaurantMadinatMakadi,Hurghada,5
336,MiCasaRestaurant,Hurghada,5
337,OldSchoolBar&Restaurant,Hurghada,5
338,SoloRestaurant&Lounge,Hurghada,5
339,S-SquareSamurai,Hurghada,5
340,RedDragon-AsianKitchen&Bar,Hurghada,5
341,Karibu-Bar&Restaurant,Hurghada,5
342,Grill&ChillRestaurant,Hurghada,5
343,S-SquareSushiBar,Hurghada,5
344,Chuchichaschtli,Hurghada,5
345,HangoverBar&Grill,Hurghada,5
346,Kahramana,Hurghada,5
347,S-SquareSumoHouse,Hurghada,5
348,AlexBeachClub&Restaurant,Hurghada,5
349,TheHeavenRestaurant,Hurghada,4.5
